prompt,mixtral-8x7b-instruct-v0.1,gpt-4-1106-preview
"As of 2016, about what percentage of adults aged 18 years or older were overweight?
A. 10%
B. 20%
C. 40%
D. 80%
Answer:",False,True
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?
A. About $300
B. About $3k
C. About $8k
D. About $15k
Answer:",False,False
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?
A. 52%
B. 62%
C. 72%
D. 82%
Answer:",False,True
"Which of the following countries generated the most total energy from solar sources in 2019?
A. China
B. United States
C. Germany
D. Japan
Answer:",True,True
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?
A. by 5 fold
B. by 10 fold
C. by 15 fold
D. by 20 fold
Answer:",True,True
"What is the biggest cause of death in children under five years old (as of 2017)?
A. Lower respiratory infections
B. Preterm birth complications
C. Diarrheal diseases
D. Malaria
Answer:",True,False
"As of 2019, about what percentage of the global population does not have access to safe drinking water?
A. 10%
B. 20%
C. 30%
D. 40%
Answer:",True,False
"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?
A. 29%
B. 49%
C. 69%
D. 89%
Answer:",True,False
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?
A. 18%
B. 38%
C. 58%
D. 78%
Answer:",True,True
"As of 2017, what fraction of the population in India used the internet in the past three months?
A. 11%
B. 26%
C. 41%
D. 56%
Answer:",False,True
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?
A. 23%
B. 38%
C. 53%
D. 68%
Answer:",False,False
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?
A. 5%
B. 10%
C. 15%
D. 25%
Answer:",False,True
"As of 2020, about what percentage of the world population practices open defecation?
A. 2%
B. 4%
C. 9%
D. 18%
Answer:",False,False
"Which of the following is not an element of the redistribution-with-growth policy approach?
A. minimum wage legislation
B. land reform
C. progressive taxation
D. increased access to education
Answer:",True,False
"About what percentage of the global population was literate in 1950?
A. 36%
B. 56%
C. 76%
D. 96%
Answer:",False,True
"As of 2016, about what percentage of adults aged 18 years or older were obese?
A. 6%
B. 13%
C. 27%
D. 46%
Answer:",False,False
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?
A. 34%
B. 49%
C. 64%
D. 79%
Answer:",False,True
"As of 2017, what percentage of Americans live in urban areas?
A. 62%
B. 72%
C. 82%
D. 92%
Answer:",False,True
"What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?
A. About $3k
B. About $8k
C. About $15k
D. About $30k
Answer:",False,True
"In 2016, about how many people in the United States were homeless?
A. 55,000
B. 550,000
C. 5,500,000
D. 55,000,000
Answer:",True,True
"In 1965 how many Americans thought that sending troops to Vietnam was a mistake?
A. 25%
B. 45%
C. 65%
D. 85%
Answer:",True,True
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is
A. 24%
B. 44%
C. 64%
D. 84%
Answer:",False,False
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately
A. 25%
B. 40%
C. 55%
D. 75%
Answer:",True,False
"As of 2015, agriculture made up about what percentage of total Indian GDP?
A. 8%
B. 16%
C. 32%
D. 64%
Answer:",True,True
"Which of the following is true as of 2020?
A. males are more likely to have depression and are more likely to have an alcohol use disorder than females.
B. females are more likely to have depression and are more likely to have an alcohol use disorder than males.
C. males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.
D. females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.
Answer:",False,True
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?
A. 37%
B. 47%
C. 57%
D. 67%
Answer:",True,False
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about
A. 1%
B. 3%
C. 6%
D. 10%
Answer:",True,False
"As of 2019, about what share of electricity came from fossil fuels in the United States?
A. 23%
B. 43%
C. 63%
D. 83%
Answer:",True,True
"What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?
A. 10%
B. 30%
C. 50%
D. 70%
Answer:",False,False
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?
A. 26%
B. 41%
C. 56%
D. 71%
Answer:",False,False
"In 2018, about how many chickens were killed for meat production?
A. 690 million
B. 6.9 billion
C. 69 billion
D. 690 billion
Answer:",True,True
"In 2016, what percentage of the population of South Sudan had access to electricity?
A. 9%
B. 29%
C. 59%
D. 79%
Answer:",True,True
"About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?
A. 31%
B. 51%
C. 71%
D. 91%
Answer:",True,False
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?
A. by 4 fold
B. by 8 fold
C. by 16 fold
D. by 32 fold
Answer:",True,True
"Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.
A. 1
B. 7
C. 13
D. 19
Answer:",False,False
"As of 2019, about what percentage of Turks say God plays an important role in their life?
A. 59%
B. 69%
C. 79%
D. 89%
Answer:",True,False
"Which of the following was responsible for the most death in the 20th century?
A. Earthquakes
B. Volcanic activity
C. Wildfires
D. Floods
Answer:",False,True
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?
A. 15%
B. 35%
C. 55%
D. 75%
Answer:",True,False
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?
A. by 4 fold
B. by 8 fold
C. by 16 fold
D. by 32 fold
Answer:",False,True
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?
A. 36%
B. 51%
C. 66%
D. 81%
Answer:",False,False
"As of 2015, what percentage of the global population over 15 years old was literate?
A. 81%
B. 86%
C. 91%
D. 96%
Answer:",True,True
"About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?
A. 26%
B. 46%
C. 66%
D. 86%
Answer:",False,True
"As of 2019, which of the following had the lowest life expectancy?
A. Brazil
B. China
C. Mexico
D. Iran
Answer:",True,False
"As of 2019, unsafe water is responsible for about how many deaths each year?
A. 1.2 million
B. 2.4 million
C. 3.6 million
D. 4.8 million
Answer:",False,True
"Which of the following causes more deaths globally each year (as of 2017)?
A. Diarrheal diseases
B. Diabetes
C. Dementia
D. Road injuries
Answer:",False,True
"About how many people are infected by HIV/AIDS as of 2020?
A. 3 million
B. 14 million
C. 42 million
D. 124 million
Answer:",True,True
"What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?
A. 26%
B. 46%
C. 66%
D. 86%
Answer:",False,False
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?
A. 25%
B. 45%
C. 65%
D. 85%
Answer:",False,False
"What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?
A. 6%
B. 16%
C. 36%
D. 66%
Answer:",False,False
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?
A. 43%
B. 58%
C. 73%
D. 88%
Answer:",False,False
"As of 2017, the share of GDP spent on the military by China is about
A. 0.50%
B. 2%
C. 6%
D. 12%
Answer:",False,True
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been
A. strongly supported by most studies
B. supported mainly by cross-section, not time-series studies
C. supported mainly by time-series, not cross-section studies
D. generally repudiated by empirical studies
Answer:",False,False
